theater,year,ethnicity,actors
The New Group,2011-2012,AFRICAN AMERICAN,
The New Group,2011-2012,LATINO,
The New Group,2011-2012,ASIAN AMERICAN,
The New Group,2011-2012,OTHER,
The New Group,2012-2013,CAUCASIAN,
The New Group,2012-2013,AFRICAN AMERICAN,
The New Group,2012-2013,LATINO,
The New Group,2012-2013,ASIAN AMERICAN,
The New Group,2012-2013,OTHER,
The New Group,2013-2014,CAUCASIAN,11
The New Group,2013-2014,AFRICAN AMERICAN,1
The New Group,2013-2014,LATINO,1
The New Group,2013-2014,ASIAN AMERICAN,0
The New Group,2013-2014,OTHER,1
The New Group,2014-2015,CAUCASIAN,11
The New Group,2014-2015,AFRICAN AMERICAN,2
The New Group,2014-2015,LATINO,0
The New Group,2014-2015,ASIAN AMERICAN,3
The New Group,2014-2015,OTHER,0
Theatre for a New Audience,2006-2007,CAUCASIAN,23
Theatre for a New Audience,2006-2007,AFRICAN AMERICAN,3
Theatre for a New Audience,2006-2007,LATINO,0
Theatre for a New Audience,2006-2007,ASIAN AMERICAN,1
Theatre for a New Audience,2006-2007,OTHER,0
Theatre for a New Audience,2007-2008,CAUCASIAN,17
Theatre for a New Audience,2007-2008,AFRICAN AMERICAN,18
Theatre for a New Audience,2007-2008,LATINO,0
Theatre for a New Audience,2007-2008,ASIAN AMERICAN,1
Theatre for a New Audience,2007-2008,OTHER,0
Theatre for a New Audience,2008-2009,CAUCASIAN,28
Theatre for a New Audience,2008-2009,AFRICAN AMERICAN,2
Theatre for a New Audience,2008-2009,LATINO,2
Theatre for a New Audience,2008-2009,ASIAN AMERICAN,1
Theatre for a New Audience,2008-2009,OTHER,0
Theatre for a New Audience,2009-2010,CAUCASIAN,18
Theatre for a New Audience,2009-2010,AFRICAN AMERICAN,1
Theatre for a New Audience,2009-2010,LATINO,1
Theatre for a New Audience,2009-2010,ASIAN AMERICAN,0
Theatre for a New Audience,2009-2010,OTHER,0
Theatre for a New Audience,2010-2011,CAUCASIAN,33
Theatre for a New Audience,2010-2011,AFRICAN AMERICAN,8
Theatre for a New Audience,2010-2011,LATINO,0
Theatre for a New Audience,2010-2011,ASIAN AMERICAN,0
Theatre for a New Audience,2010-2011,OTHER,0
Theatre for a New Audience,2011-2012,CAUCASIAN,
Theatre for a New Audience,2011-2012,AFRICAN AMERICAN,
Theatre for a New Audience,2011-2012,LATINO,
Theatre for a New Audience,2011-2012,ASIAN AMERICAN,
Theatre for a New Audience,2011-2012,OTHER,
Theatre for a New Audience,2012-2013,CAUCASIAN,
Theatre for a New Audience,2012-2013,AFRICAN AMERICAN,
Theatre for a New Audience,2012-2013,LATINO,
Theatre for a New Audience,2012-2013,ASIAN AMERICAN,
Theatre for a New Audience,2012-2013,OTHER,
Theatre for a New Audience,2013-2014,CAUCASIAN,78
Theatre for a New Audience,2013-2014,AFRICAN AMERICAN,16
Theatre for a New Audience,2013-2014,LATINO,1
Theatre for a New Audience,2013-2014,ASIAN AMERICAN,5
Theatre for a New Audience,2013-2014,OTHER,0
Theatre for a New Audience,2014-2015,CAUCASIAN,23
Theatre for a New Audience,2014-2015,AFRICAN AMERICAN,14
Theatre for a New Audience,2014-2015,LATINO,2
Theatre for a New Audience,2014-2015,ASIAN AMERICAN,2
Theatre for a New Audience,2014-2015,OTHER,0
Vineyard Theatre,2006-2007,CAUCASIAN,23
Vineyard Theatre,2006-2007,AFRICAN AMERICAN,2
Vineyard Theatre,2006-2007,LATINO,2
Vineyard Theatre,2006-2007,ASIAN AMERICAN,1
Vineyard Theatre,2006-2007,OTHER,0
Vineyard Theatre,2007-2008,CAUCASIAN,16
Vineyard Theatre,2007-2008,AFRICAN AMERICAN,0
Vineyard Theatre,2007-2008,LATINO,0
Vineyard Theatre,2007-2008,ASIAN AMERICAN,1
Vineyard Theatre,2007-2008,OTHER,0
Vineyard Theatre,2008-2009,CAUCASIAN,15
Vineyard Theatre,2008-2009,AFRICAN AMERICAN,9
Vineyard Theatre,2008-2009,LATINO,1
Vineyard Theatre,2008-2009,ASIAN AMERICAN,0
Vineyard Theatre,2008-2009,OTHER,0
Vineyard Theatre,2009-2010,CAUCASIAN,10
Vineyard Theatre,2009-2010,AFRICAN AMERICAN,13
Vineyard Theatre,2009-2010,LATINO,0
Vineyard Theatre,2009-2010,ASIAN AMERICAN,0
Vineyard Theatre,2009-2010,OTHER,0
Vineyard Theatre,2010-2011,CAUCASIAN,17
Vineyard Theatre,2010-2011,AFRICAN AMERICAN,0
Vineyard Theatre,2010-2011,LATINO,0
Vineyard Theatre,2010-2011,ASIAN AMERICAN,1
Vineyard Theatre,2010-2011,OTHER,
Vineyard Theatre,2011-2012,CAUCASIAN,
Vineyard Theatre,2011-2012,AFRICAN AMERICAN,
Vineyard Theatre,2011-2012,LATINO,
Vineyard Theatre,2011-2012,ASIAN AMERICAN,
Vineyard Theatre,2011-2012,OTHER,
Vineyard Theatre,2012-2013,CAUCASIAN,
Vineyard Theatre,2012-2013,AFRICAN AMERICAN,
Vineyard Theatre,2012-2013,LATINO,
Vineyard Theatre,2012-2013,ASIAN AMERICAN,
Vineyard Theatre,2012-2013,OTHER,
Vineyard Theatre,2013-2014,CAUCASIAN,12
Vineyard Theatre,2013-2014,AFRICAN AMERICAN,0
Vineyard Theatre,2013-2014,LATINO,0
Vineyard Theatre,2013-2014,ASIAN AMERICAN,0
Vineyard Theatre,2013-2014,OTHER,0
Vineyard Theatre,2014-2015,CAUCASIAN,15
Vineyard Theatre,2014-2015,AFRICAN AMERICAN,4
Vineyard Theatre,2014-2015,LATINO,1
Vineyard Theatre,2014-2015,ASIAN AMERICAN,4
Vineyard Theatre,2014-2015,OTHER,0
York Theatre Company,2006-2007,CAUCASIAN,11
York Theatre Company,2006-2007,AFRICAN AMERICAN,1
York Theatre Company,2006-2007,LATINO,0
York Theatre Company,2006-2007,ASIAN AMERICAN,0
York Theatre Company,2006-2007,OTHER,0
York Theatre Company,2007-2008,CAUCASIAN,0
York Theatre Company,2007-2008,AFRICAN AMERICAN,0
York Theatre Company,2007-2008,LATINO,0
York Theatre Company,2007-2008,ASIAN AMERICAN,0
York Theatre Company,2007-2008,OTHER,0
York Theatre Company,2008-2009,CAUCASIAN,31
York Theatre Company,2008-2009,AFRICAN AMERICAN,1
York Theatre Company,2008-2009,LATINO,0
York Theatre Company,2008-2009,ASIAN AMERICAN,0
York Theatre Company,2008-2009,OTHER,0
York Theatre Company,2009-2010,CAUCASIAN,11
York Theatre Company,2009-2010,AFRICAN AMERICAN,8
York Theatre Company,2009-2010,LATINO,0
York Theatre Company,2009-2010,ASIAN AMERICAN,2
York Theatre Company,2009-2010,OTHER,0
York Theatre Company,2010-2011,CAUCASIAN,9
York Theatre Company,2010-2011,AFRICAN AMERICAN,0
York Theatre Company,2010-2011,LATINO,0
York Theatre Company,2010-2011,ASIAN AMERICAN,0
York Theatre Company,2010-2011,OTHER,0
York Theatre Company,2011-2012,CAUCASIAN,
York Theatre Company,2011-2012,AFRICAN AMERICAN,
York Theatre Company,2011-2012,LATINO,
York Theatre Company,2011-2012,ASIAN AMERICAN,
York Theatre Company,2011-2012,OTHER,
York Theatre Company,2012-2013,CAUCASIAN,
York Theatre Company,2012-2013,AFRICAN AMERICAN,
York Theatre Company,2012-2013,LATINO,
York Theatre Company,2012-2013,ASIAN AMERICAN,
York Theatre Company,2012-2013,OTHER,
York Theatre Company,2013-2014,CAUCASIAN,10
York Theatre Company,2013-2014,AFRICAN AMERICAN,9
York Theatre Company,2013-2014,LATINO,0
York Theatre Company,2013-2014,ASIAN AMERICAN,0
York Theatre Company,2013-2014,OTHER,0
York Theatre Company,2014-2015,CAUCASIAN,7
York Theatre Company,2014-2015,AFRICAN AMERICAN,1
York Theatre Company,2014-2015,LATINO,0
York Theatre Company,2014-2015,ASIAN AMERICAN,0
York Theatre Company,2014-2015,OTHER,0
