year,show,ethnicity,actors,theater,type,nonprofit
2014-2015,Skylight,LATINO,0,Golden Theatre,Play,
2014-2015,Skylight,ASIAN AMERICAN,0,Golden Theatre,Play,
2014-2015,Skylight,OTHER,0,Golden Theatre,Play,
2014-2015,The Country House,CAUCASIAN,5,Samuel J. Friedman Theater,Play,1
2014-2015,The Country House,AFRICAN AMERICAN,1,Samuel J. Friedman Theater,Play,1
2014-2015,The Country House,LATINO,0,Samuel J. Friedman Theater,Play,1
2014-2015,The Country House,ASIAN AMERICAN,0,Samuel J. Friedman Theater,Play,1
2014-2015,The Country House,OTHER,0,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,CAUCASIAN,11,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,AFRICAN AMERICAN,5,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,LATINO,0,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,ASIAN AMERICAN,0,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,OTHER,0,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,CAUCASIAN,2,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,AFRICAN AMERICAN,0,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,LATINO,0,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,ASIAN AMERICAN,0,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,OTHER,0,Samuel J. Friedman Theater,Play,1
2014-2015,The Real Thing,CAUCASIAN,11,American Airlines Theatre,Play,1
2014-2015,The Real Thing,AFRICAN AMERICAN,0,American Airlines Theatre,Play,1
2014-2015,The Real Thing,LATINO,0,American Airlines Theatre,Play,1
2014-2015,The Real Thing,ASIAN AMERICAN,0,American Airlines Theatre,Play,1
2014-2015,The Real Thing,OTHER,0,American Airlines Theatre,Play,1
2014-2015,Disgraced,CAUCASIAN,4,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Disgraced,AFRICAN AMERICAN,2,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Disgraced,LATINO,0,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Disgraced,ASIAN AMERICAN,2,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Disgraced,OTHER,1,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Love Letters,CAUCASIAN,6,Brooks Atkinson Theater,Play,
2014-2015,Love Letters,AFRICAN AMERICAN,0,Brooks Atkinson Theater,Play,
2014-2015,Love Letters,LATINO,0,Brooks Atkinson Theater,Play,
2014-2015,Love Letters,ASIAN AMERICAN,0,Brooks Atkinson Theater,Play,
2014-2015,Love Letters,OTHER,0,Brooks Atkinson Theater,Play,
2013-2014,A Time To Kill ,CAUCASIAN,12,Golden Theatre,Play,
2013-2014,A Time To Kill ,AFRICAN AMERICAN,5,Golden Theatre,Play,
2013-2014,A Time To Kill ,LATINO,0,Golden Theatre,Play,
2013-2014,A Time To Kill ,ASIAN AMERICAN,0,Golden Theatre,Play,
2013-2014,A Time To Kill ,OTHER,0,Golden Theatre,Play,
2013-2014,ROMEO AND JULIET,CAUCASIAN,12,Richard Rodgers Theatre,Play,
2013-2014,ROMEO AND JULIET,AFRICAN AMERICAN,11,Richard Rodgers Theatre,Play,
2013-2014,ROMEO AND JULIET,LATINO,0,Richard Rodgers Theatre,Play,
2013-2014,ROMEO AND JULIET,ASIAN AMERICAN,0,Richard Rodgers Theatre,Play,
2013-2014,ROMEO AND JULIET,OTHER,0,Richard Rodgers Theatre,Play,
2013-2014,TWELFTH NIGHT / RICHARD THE THIRD,CAUCASIAN,17,Belasco Theatre (Lincoln Center),Play,
2013-2014,TWELFTH NIGHT / RICHARD THE THIRD,AFRICAN AMERICAN,1,Belasco Theatre (Lincoln Center),Play,
2013-2014,TWELFTH NIGHT / RICHARD THE THIRD,LATINO,0,Belasco Theatre (Lincoln Center),Play,
2013-2014,TWELFTH NIGHT / RICHARD THE THIRD,ASIAN AMERICAN,0,Belasco Theatre (Lincoln Center),Play,
2013-2014,TWELFTH NIGHT / RICHARD THE THIRD,OTHER,1,Belasco Theatre (Lincoln Center),Play,
2013-2014,BRONX BOMBERS,CAUCASIAN,10,Circle In The Square,Play,
2013-2014,BRONX BOMBERS,AFRICAN AMERICAN,3,Circle In The Square,Play,
2013-2014,BRONX BOMBERS,LATINO,0,Circle In The Square,Play,
2013-2014,BRONX BOMBERS,ASIAN AMERICAN,0,Circle In The Square,Play,
2013-2014,BRONX BOMBERS,OTHER,0,Circle In The Square,Play,
2013-2014,LADY DAY AT EMERSON'S BAR AND GRILL ,CAUCASIAN,0,Circle In The Square,Play,
2013-2014,LADY DAY AT EMERSON'S BAR AND GRILL ,AFRICAN AMERICAN,2,Circle In The Square,Play,
2013-2014,LADY DAY AT EMERSON'S BAR AND GRILL ,LATINO,0,Circle In The Square,Play,
2013-2014,LADY DAY AT EMERSON'S BAR AND GRILL ,ASIAN AMERICAN,0,Circle In The Square,Play,
2013-2014,LADY DAY AT EMERSON'S BAR AND GRILL ,OTHER,0,Circle In The Square,Play,
2013-2014,A RAISIN IN THE SUN,CAUCASIAN,2,Ethel Barrymore Theatre,Play,
2013-2014,A RAISIN IN THE SUN,AFRICAN AMERICAN,15,Ethel Barrymore Theatre,Play,
2013-2014,A RAISIN IN THE SUN,LATINO,0,Ethel Barrymore Theatre,Play,
2013-2014,A RAISIN IN THE SUN,ASIAN AMERICAN,0,Ethel Barrymore Theatre,Play,
2013-2014,A RAISIN IN THE SUN,OTHER,0,Ethel Barrymore Theatre,Play,
2013-2014,All The Way,CAUCASIAN,16,Neil Simon Theatre,Play,
2013-2014,All The Way,AFRICAN AMERICAN,8,Neil Simon Theatre,Play,
2013-2014,All The Way,LATINO,0,Neil Simon Theatre,Play,
2013-2014,All The Way,ASIAN AMERICAN,0,Neil Simon Theatre,Play,
2013-2014,All The Way,OTHER,0,Neil Simon Theatre,Play,
2013-2014,Of Mice and Men,CAUCASIAN,12,Longacre Theatre,Play,
2013-2014,Of Mice and Men,AFRICAN AMERICAN,2,Longacre Theatre,Play,
2013-2014,Of Mice and Men,LATINO,0,Longacre Theatre,Play,
2013-2014,Of Mice and Men,ASIAN AMERICAN,0,Longacre Theatre,Play,
2013-2014,Of Mice and Men,OTHER,0,Longacre Theatre,Play,
2013-2014,Betrayal,CAUCASIAN,7,Ethel Barrymore Theatre,Play,
2013-2014,Betrayal,AFRICAN AMERICAN,0,Ethel Barrymore Theatre,Play,
2013-2014,Betrayal,LATINO,0,Ethel Barrymore Theatre,Play,
2013-2014,Betrayal,ASIAN AMERICAN,0,Ethel Barrymore Theatre,Play,
2013-2014,Betrayal,OTHER,0,Ethel Barrymore Theatre,Play,
2013-2014,The glass Menagerie,CAUCASIAN,7,Booth Theatre,Play,
2013-2014,The glass Menagerie,AFRICAN AMERICAN,0,Booth Theatre,Play,
2013-2014,The glass Menagerie,LATINO,0,Booth Theatre,Play,
2013-2014,The glass Menagerie,ASIAN AMERICAN,0,Booth Theatre,Play,
2013-2014,The glass Menagerie,OTHER,0,Booth Theatre,Play,
2013-2014,No Man's Land/Waiting for Godot,CAUCASIAN,8,Cort Theatre,Play,
2013-2014,No Man's Land/Waiting for Godot,AFRICAN AMERICAN,0,Cort Theatre,Play,
2013-2014,No Man's Land/Waiting for Godot,LATINO,0,Cort Theatre,Play,
2013-2014,No Man's Land/Waiting for Godot,ASIAN AMERICAN,0,Cort Theatre,Play,
2013-2014,No Man's Land/Waiting for Godot,OTHER,0,Cort Theatre,Play,
2013-2014,Mothers and Sons,CAUCASIAN,7,Golden Theatre,Play,
2013-2014,Mothers and Sons,AFRICAN AMERICAN,0,Golden Theatre,Play,
2013-2014,Mothers and Sons,LATINO,0,Golden Theatre,Play,
2013-2014,Mothers and Sons,ASIAN AMERICAN,0,Golden Theatre,Play,
2013-2014,Mothers and Sons,OTHER,0,Golden Theatre,Play,
2013-2014,The Velocity of Autumn,CAUCASIAN,4,Booth Theatre,Play,
2013-2014,The Velocity of Autumn,AFRICAN AMERICAN,0,Booth Theatre,Play,
2013-2014,The Velocity of Autumn,LATINO,0,Booth Theatre,Play,
2013-2014,The Velocity of Autumn,ASIAN AMERICAN,0,Booth Theatre,Play,
2013-2014,The Velocity of Autumn,OTHER,0,Booth Theatre,Play,
2013-2014,THE CRIPPLE OF INISHMAAN,CAUCASIAN,13,Cort Theatre,Play,
2013-2014,THE CRIPPLE OF INISHMAAN,AFRICAN AMERICAN,0,Cort Theatre,Play,
2013-2014,THE CRIPPLE OF INISHMAAN,LATINO,0,Cort Theatre,Play,
2013-2014,THE CRIPPLE OF INISHMAAN,ASIAN AMERICAN,0,Cort Theatre,Play,
2013-2014,THE CRIPPLE OF INISHMAAN,OTHER,0,Cort Theatre,Play,
2013-2014,The Winslow Boy,CAUCASIAN,11,American Airlines Theatre,Play,1
2013-2014,The Winslow Boy,AFRICAN AMERICAN,0,American Airlines Theatre,Play,1
2013-2014,The Winslow Boy,LATINO,0,American Airlines Theatre,Play,1
2013-2014,The Winslow Boy,ASIAN AMERICAN,0,American Airlines Theatre,Play,1
2013-2014,The Winslow Boy,OTHER,0,American Airlines Theatre,Play,1
2013-2014,Act One ,CAUCASIAN,17,The Vivian Beaumont,Play,1
2013-2014,Act One ,AFRICAN AMERICAN,2,The Vivian Beaumont,Play,1
2013-2014,Act One ,LATINO,1,The Vivian Beaumont,Play,1
2013-2014,Act One ,ASIAN AMERICAN,0,The Vivian Beaumont,Play,1
2013-2014,Act One ,OTHER,1,The Vivian Beaumont,Play,1
2013-2014,Outside Mullingar ,CAUCASIAN,4,Samuel J. Friedman Theater,Play,1
2013-2014,Outside Mullingar ,AFRICAN AMERICAN,0,Samuel J. Friedman Theater,Play,1
2013-2014,Outside Mullingar ,LATINO,0,Samuel J. Friedman Theater,Play,1
2013-2014,Outside Mullingar ,ASIAN AMERICAN,0,Samuel J. Friedman Theater,Play,1
2013-2014,Outside Mullingar ,OTHER,0,Samuel J. Friedman Theater,Play,1
2013-2014,The Snow Geese,CAUCASIAN,7,Samuel J. Friedman Theater,Play,1
2013-2014,The Snow Geese,AFRICAN AMERICAN,0,Samuel J. Friedman Theater,Play,1
2013-2014,The Snow Geese,LATINO,0,Samuel J. Friedman Theater,Play,1
2013-2014,The Snow Geese,ASIAN AMERICAN,0,Samuel J. Friedman Theater,Play,1
2013-2014,The Snow Geese,OTHER,0,Samuel J. Friedman Theater,Play,1
2013-2014,Machinal ,CAUCASIAN,16,American Airlines Theatre,Play,1
2013-2014,Machinal ,AFRICAN AMERICAN,1,American Airlines Theatre,Play,1
2013-2014,Machinal ,LATINO,1,American Airlines Theatre,Play,1
2013-2014,Machinal ,ASIAN AMERICAN,0,American Airlines Theatre,Play,1
2013-2014,Machinal ,OTHER,0,American Airlines Theatre,Play,1
2013-2014,Casa Valentina,CAUCASIAN,9,Samuel J. Friedman Theater,Play,1
2013-2014,Casa Valentina,AFRICAN AMERICAN,0,Samuel J. Friedman Theater,Play,1
2013-2014,Casa Valentina,LATINO,0,Samuel J. Friedman Theater,Play,1
2013-2014,Casa Valentina,ASIAN AMERICAN,0,Samuel J. Friedman Theater,Play,1
2013-2014,Casa Valentina,OTHER,0,Samuel J. Friedman Theater,Play,1
2013-2014,The Realistic Joneses,CAUCASIAN,6,Lyceum Theatre (Lincoln Center),Play,
2013-2014,The Realistic Joneses,AFRICAN AMERICAN,0,Lyceum Theatre (Lincoln Center),Play,
2013-2014,The Realistic Joneses,LATINO,0,Lyceum Theatre (Lincoln Center),Play,
2013-2014,The Realistic Joneses,ASIAN AMERICAN,0,Lyceum Theatre (Lincoln Center),Play,
2013-2014,The Realistic Joneses,OTHER,0,Lyceum Theatre (Lincoln Center),Play,
2013-2014,FIRST DATE,CAUCASIAN,10,Longacre Theatre,Musical,
2013-2014,FIRST DATE,AFRICAN AMERICAN,0,Longacre Theatre,Musical,
2013-2014,FIRST DATE,LATINO,1,Longacre Theatre,Musical,
2013-2014,FIRST DATE,ASIAN AMERICAN,0,Longacre Theatre,Musical,
2013-2014,FIRST DATE,OTHER,0,Longacre Theatre,Musical,
2013-2014,SOUL DOCTOR ,CAUCASIAN,19,Circle In The Square,Musical,
2013-2014,SOUL DOCTOR ,AFRICAN AMERICAN,4,Circle In The Square,Musical,
2013-2014,SOUL DOCTOR ,LATINO,0,Circle In The Square,Musical,
2013-2014,SOUL DOCTOR ,ASIAN AMERICAN,0,Circle In The Square,Musical,
2013-2014,SOUL DOCTOR ,OTHER,0,Circle In The Square,Musical,
2013-2014,A NIGHT WITH JANIS JOPLIN,CAUCASIAN,3,Lyceum Theatre (Lincoln Center),Musical,
2013-2014,A NIGHT WITH JANIS JOPLIN,AFRICAN AMERICAN,5,Lyceum Theatre (Lincoln Center),Musical,
2013-2014,A NIGHT WITH JANIS JOPLIN,LATINO,0,Lyceum Theatre (Lincoln Center),Musical,
2013-2014,A NIGHT WITH JANIS JOPLIN,ASIAN AMERICAN,0,Lyceum Theatre (Lincoln Center),Musical,
2013-2014,A NIGHT WITH JANIS JOPLIN,OTHER,0,Lyceum Theatre (Lincoln Center),Musical,
2013-2014,BIG FISH,CAUCASIAN,23,Neil Simon Theatre,Musical,
2013-2014,BIG FISH,AFRICAN AMERICAN,3,Neil Simon Theatre,Musical,
2013-2014,BIG FISH,LATINO,0,Neil Simon Theatre,Musical,
2013-2014,BIG FISH,ASIAN AMERICAN,0,Neil Simon Theatre,Musical,
2013-2014,BIG FISH,OTHER,1,Neil Simon Theatre,Musical,
2013-2014,AFTER MIDNIGHT,CAUCASIAN,0,Brooks Atkinson Theater,Musical,
2013-2014,AFTER MIDNIGHT,AFRICAN AMERICAN,29,Brooks Atkinson Theater,Musical,
2013-2014,AFTER MIDNIGHT,LATINO,0,Brooks Atkinson Theater,Musical,
2013-2014,AFTER MIDNIGHT,ASIAN AMERICAN,0,Brooks Atkinson Theater,Musical,
2013-2014,AFTER MIDNIGHT,OTHER,0,Brooks Atkinson Theater,Musical,
2013-2014,ROCKY,CAUCASIAN,21,Winter Garden Theatre,Musical,
2013-2014,ROCKY,AFRICAN AMERICAN,9,Winter Garden Theatre,Musical,
2013-2014,ROCKY,LATINO,1,Winter Garden Theatre,Musical,
2013-2014,ROCKY,ASIAN AMERICAN,0,Winter Garden Theatre,Musical,
2013-2014,ROCKY,OTHER,0,Winter Garden Theatre,Musical,
2013-2014,ALADDIN,CAUCASIAN,16,New Amsterdam Theatre,Musical,
2013-2014,ALADDIN,AFRICAN AMERICAN,10,New Amsterdam Theatre,Musical,
2013-2014,ALADDIN,LATINO,2,New Amsterdam Theatre,Musical,
2013-2014,ALADDIN,ASIAN AMERICAN,7,New Amsterdam Theatre,Musical,
2013-2014,ALADDIN,OTHER,0,New Amsterdam Theatre,Musical,
2013-2014,BEAUTIFUL,CAUCASIAN,10,Pantages Theatre,Musical,
2013-2014,BEAUTIFUL,AFRICAN AMERICAN,8,Pantages Theatre,Musical,
2013-2014,BEAUTIFUL,LATINO,0,Pantages Theatre,Musical,
2013-2014,BEAUTIFUL,ASIAN AMERICAN,0,Pantages Theatre,Musical,
2013-2014,BEAUTIFUL,OTHER,0,Pantages Theatre,Musical,
2013-2014,IF/THEN,CAUCASIAN,11,Richard Rodgers Theatre,Musical,
2013-2014,IF/THEN,AFRICAN AMERICAN,5,Richard Rodgers Theatre,Musical,
2013-2014,IF/THEN,LATINO,1,Richard Rodgers Theatre,Musical,
2013-2014,IF/THEN,ASIAN AMERICAN,4,Richard Rodgers Theatre,Musical,
2013-2014,IF/THEN,OTHER,0,Richard Rodgers Theatre,Musical,
2013-2014,BULLETS OVER BROADWAY,CAUCASIAN,32,St. James Theatre,Musical,
2013-2014,BULLETS OVER BROADWAY,AFRICAN AMERICAN,1,St. James Theatre,Musical,
2013-2014,BULLETS OVER BROADWAY,LATINO,0,St. James Theatre,Musical,
2013-2014,BULLETS OVER BROADWAY,ASIAN AMERICAN,0,St. James Theatre,Musical,
2013-2014,BULLETS OVER BROADWAY,OTHER,0,St. James Theatre,Musical,
2013-2014,VIOLET,CAUCASIAN,11,American Airlines Theatre,Musical,1
2013-2014,VIOLET,AFRICAN AMERICAN,5,American Airlines Theatre,Musical,1
2013-2014,VIOLET,LATINO,0,American Airlines Theatre,Musical,1
2013-2014,VIOLET,ASIAN AMERICAN,0,American Airlines Theatre,Musical,1
2013-2014,VIOLET,OTHER,0,American Airlines Theatre,Musical,1
2013-2014,LES MISERABLES,CAUCASIAN,30,Imperial Theatre,Musical,
2013-2014,LES MISERABLES,AFRICAN AMERICAN,5,Imperial Theatre,Musical,
2013-2014,LES MISERABLES,LATINO,0,Imperial Theatre,Musical,
2013-2014,LES MISERABLES,ASIAN AMERICAN,1,Imperial Theatre,Musical,
2013-2014,LES MISERABLES,OTHER,2,Imperial Theatre,Musical,
2013-2014,HEDWIG AND THE ANGRY INCH,CAUCASIAN,6,Belasco Theatre (Lincoln Center),Musical,
2013-2014,HEDWIG AND THE ANGRY INCH,AFRICAN AMERICAN,0,Belasco Theatre (Lincoln Center),Musical,
2013-2014,HEDWIG AND THE ANGRY INCH,LATINO,0,Belasco Theatre (Lincoln Center),Musical,
2013-2014,HEDWIG AND THE ANGRY INCH,ASIAN AMERICAN,0,Belasco Theatre (Lincoln Center),Musical,
2013-2014,HEDWIG AND THE ANGRY INCH,OTHER,0,Belasco Theatre (Lincoln Center),Musical,
2013-2014,CABARET,CAUCASIAN,22,Studio 54,Musical,1
2013-2014,CABARET,AFRICAN AMERICAN,0,Studio 54,Musical,1
2013-2014,CABARET,LATINO,0,Studio 54,Musical,1
2013-2014,CABARET,ASIAN AMERICAN,0,Studio 54,Musical,1
2013-2014,CABARET,OTHER,0,Studio 54,Musical,1
2013-2014,A GENTLEMAN'S GUIDE TO LOVE AND MURDER,CAUCASIAN,13,Walter Kerr Theatre,Musical,
2013-2014,A GENTLEMAN'S GUIDE TO LOVE AND MURDER,AFRICAN AMERICAN,0,Walter Kerr Theatre,Musical,
2013-2014,A GENTLEMAN'S GUIDE TO LOVE AND MURDER,LATINO,0,Walter Kerr Theatre,Musical,
2013-2014,A GENTLEMAN'S GUIDE TO LOVE AND MURDER,ASIAN AMERICAN,0,Walter Kerr Theatre,Musical,
2013-2014,A GENTLEMAN'S GUIDE TO LOVE AND MURDER,OTHER,0,Walter Kerr Theatre,Musical,
2013-2014,BRIDGES OF MADISON COUNTY,CAUCASIAN,18,Gerald Schoenfeld Theatre,Musical,
2013-2014,BRIDGES OF MADISON COUNTY,AFRICAN AMERICAN,0,Gerald Schoenfeld Theatre,Musical,
2013-2014,BRIDGES OF MADISON COUNTY,LATINO,0,Gerald Schoenfeld Theatre,Musical,
2013-2014,BRIDGES OF MADISON COUNTY,ASIAN AMERICAN,0,Gerald Schoenfeld Theatre,Musical,
2013-2014,BRIDGES OF MADISON COUNTY,OTHER,0,Gerald Schoenfeld Theatre,Musical,
2011-2012,A Streetcar Named Desire,African American,11,,Play,
2011-2012,A Streetcar Named Desire,Asian American,0,,Play,
2011-2012,A Streetcar Named Desire,Caucasian,2,,Play,
2011-2012,A Streetcar Named Desire,Latino,3,,Play,
2011-2012,A Streetcar Named Desire,Other,0,,Play,
2011-2012,An Evening with Patti Lupone and Mady Patinkin,African American,0,,Musical,
2011-2012,An Evening with Patti Lupone and Mady Patinkin,Asian American,0,,Musical,
2011-2012,An Evening with Patti Lupone and Mady Patinkin,Caucasian,2,,Musical,
2011-2012,An Evening with Patti Lupone and Mady Patinkin,Latino,0,,Musical,
2011-2012,An Evening with Patti Lupone and Mady Patinkin,Other,0,,Musical,
2011-2012,Anything Goes,African American,2,,Musical,
2011-2012,Anything Goes,Asian American,0,,Musical,
2011-2012,Anything Goes,Caucasian,22,,Musical,
2011-2012,Anything Goes,Latino,0,,Musical,
2011-2012,Anything Goes,Other,0,,Musical,
2011-2012,Bonnie and Clyde,African American,0,,Musical,
2011-2012,Bonnie and Clyde,Asian American,0,,Musical,
2011-2012,Bonnie and Clyde,Caucasian,25,,Musical,
2011-2012,Bonnie and Clyde,Latino,0,,Musical,
2011-2012,Bonnie and Clyde,Other,0,,Musical,
2011-2012,Chinglish,African American,0,,Play,
2011-2012,Chinglish,Asian American,7,,Play,
2011-2012,Chinglish,Caucasian,3,,Play,
2011-2012,Chinglish,Latino,0,,Play,
2011-2012,Chinglish,Other,0,,Play,
2011-2012,Clybourne Park,African American,4,,Play,
2011-2012,Clybourne Park,Asian American,0,,Play,
2011-2012,Clybourne Park,Caucasian,9,,Play,
2011-2012,Clybourne Park,Latino,0,,Play,
2011-2012,Clybourne Park,Other,0,,Play,
2011-2012,Death of a Salesman,African American,0,,Play,
2011-2012,Death of a Salesman,Asian American,0,,Play,
2011-2012,Death of a Salesman,Caucasian,17,,Play,
2011-2012,Death of a Salesman,Latino,0,,Play,
2011-2012,Death of a Salesman,Other,0,,Play,
2011-2012,Don't Dress for Dinner,African American,1,,Play,
2011-2012,Don't Dress for Dinner,Asian American,0,,Play,
2011-2012,Don't Dress for Dinner,Caucasian,8,,Play,
2011-2012,Don't Dress for Dinner,Latino,0,,Play,
2011-2012,Don't Dress for Dinner,Other,0,,Play,
2011-2012,End of the Rainbow,African American,0,,Play,
2011-2012,End of the Rainbow,Asian American,0,,Play,
2011-2012,End of the Rainbow,Caucasian,7,,Play,
2011-2012,End of the Rainbow,Latino,0,,Play,
2011-2012,End of the Rainbow,Other,0,,Play,
2011-2012,Evita,African American,2,,Musical,
2011-2012,Evita,Asian American,0,,Musical,
2011-2012,Evita,Caucasian,34,,Musical,
2011-2012,Evita,Latino,3,,Musical,
2011-2012,Evita,Other,0,,Musical,
2011-2012,Follies,African American,4,,Musical,
2011-2012,Follies,Asian American,0,,Musical,
2011-2012,Follies,Caucasian,33,,Musical,
2011-2012,Follies,Latino,1,,Musical,
2011-2012,Follies,Other,0,,Musical,
2011-2012,Ghost The Musical,African American,9,,Musical,
2011-2012,Ghost The Musical,Asian American,0,,Musical,
2011-2012,Ghost The Musical,Caucasian,14,,Musical,
2011-2012,Ghost The Musical,Latino,3,,Musical,
2011-2012,Ghost The Musical,Other,0,,Musical,
2011-2012,Godspell,African American,6,,Musical,
2011-2012,Godspell,Asian American,2,,Musical,
2011-2012,Godspell,Caucasian,7,,Musical,
2011-2012,Godspell,Latino,2,,Musical,
2011-2012,Godspell,Other,0,,Musical,
2011-2012,Gore Vidal's The Best Man,African American,1,,Play,
2011-2012,Gore Vidal's The Best Man,Asian American,0,,Play,
2011-2012,Gore Vidal's The Best Man,Caucasian,24,,Play,
2011-2012,Gore Vidal's The Best Man,Latino,0,,Play,
2011-2012,Gore Vidal's The Best Man,Other,0,,Play,
2011-2012,Hair,African American,8,,Musical,
2011-2012,Hair,Asian American,3,,Musical,
2011-2012,Hair,Caucasian,15,,Musical,
2011-2012,Hair,Latino,0,,Musical,
2011-2012,Hair,Other,1,,Musical,
2011-2012,Harvey,African American,0,,Play,
2011-2012,Harvey,Asian American,0,,Play,
2011-2012,Harvey,Caucasian,15,,Play,
2011-2012,Harvey,Latino,0,,Play,
2011-2012,Harvey,Other,0,,Play,
2011-2012,How to Suceed in Business Without Really Trying,African American,0,,Musical,
2011-2012,How to Suceed in Business Without Really Trying,Asian American,0,,Musical,
2011-2012,How to Suceed in Business Without Really Trying,Caucasian,16,,Musical,
2011-2012,How to Suceed in Business Without Really Trying,Latino,0,,Musical,
2011-2012,How to Suceed in Business Without Really Trying,Other,0,,Musical,
2011-2012,"Hugh Jackman, Back on Broadway",African American,4,,Musical,
2011-2012,"Hugh Jackman, Back on Broadway",Asian American,0,,Musical,
2011-2012,"Hugh Jackman, Back on Broadway",Caucasian,7,,Musical,
2011-2012,"Hugh Jackman, Back on Broadway",Latino,0,,Musical,
2011-2012,"Hugh Jackman, Back on Broadway",Other,0,,Musical,
2011-2012,Jesus Christ Superstar,African American,6,,Musical,
2011-2012,Jesus Christ Superstar,Asian American,3,,Musical,
2011-2012,Jesus Christ Superstar,Caucasian,22,,Musical,
2011-2012,Jesus Christ Superstar,Latino,0,,Musical,
2011-2012,Jesus Christ Superstar,Other,0,,Musical,
2011-2012,Leap of Faith,African American,16,,Musical,
2011-2012,Leap of Faith,Asian American,1,,Musical,
2011-2012,Leap of Faith,Caucasian,14,,Musical,
2011-2012,Leap of Faith,Latino,2,,Musical,
2011-2012,Leap of Faith,Other,0,,Musical,
2011-2012,Lysistrata Jones,African American,4,,Musical,
2011-2012,Lysistrata Jones,Asian American,2,,Musical,
2011-2012,Lysistrata Jones,Caucasian,8,,Musical,
2011-2012,Lysistrata Jones,Latino,3,,Musical,
2011-2012,Lysistrata Jones,Other,0,,Musical,
2011-2012,Magic/Bird,African American,4,,Play,
2011-2012,Magic/Bird,Asian American,0,,Play,
2011-2012,Magic/Bird,Caucasian,4,,Play,
2011-2012,Magic/Bird,Latino,0,,Play,
2011-2012,Magic/Bird,Other,0,,Play,
2011-2012,Man and Boy,African American,0,,Play,
2011-2012,Man and Boy,Asian American,0,,Play,
2011-2012,Man and Boy,Caucasian,10,,Play,
2011-2012,Man and Boy,Latino,0,,Play,
2011-2012,Man and Boy,Other,0,,Play,
2011-2012,Master Class,African American,0,,Play,
2011-2012,Master Class,Asian American,0,,Play,
2011-2012,Master Class,Caucasian,10,,Play,
2011-2012,Master Class,Latino,0,,Play,
2011-2012,Master Class,Other,0,,Play,
2011-2012,Newsies The Musical,African American,2,,Musical,
2011-2012,Newsies The Musical,Asian American,2,,Musical,
2011-2012,Newsies The Musical,Caucasian,29,,Musical,
2011-2012,Newsies The Musical,Latino,0,,Musical,
2011-2012,Newsies The Musical,Other,0,,Musical,
2011-2012,Nice Work If You Can Get It,African American,5,,Musical,
2011-2012,Nice Work If You Can Get It,Asian American,0,,Musical,
2011-2012,Nice Work If You Can Get It,Caucasian,26,,Musical,
2011-2012,Nice Work If You Can Get It,Latino,0,,Musical,
2011-2012,Nice Work If You Can Get It,Other,0,,Musical,
2011-2012,On a Clear Day You Can See Forever,African American,1,,Musical,
2011-2012,On a Clear Day You Can See Forever,Asian American,0,,Musical,
2011-2012,On a Clear Day You Can See Forever,Caucasian,20,,Musical,
2011-2012,On a Clear Day You Can See Forever,Latino,0,,Musical,
2011-2012,On a Clear Day You Can See Forever,Other,0,,Musical,
2011-2012,Once,African American,0,,Musical,
2011-2012,Once,Asian American,0,,Musical,
2011-2012,Once,Caucasian,20,,Musical,
2011-2012,Once,Latino,0,,Musical,
2011-2012,Once,Other,0,,Musical,
2011-2012,"One Man, Two Guvnors",African American,2,,Play,
2011-2012,"One Man, Two Guvnors",Asian American,0,,Play,
2011-2012,"One Man, Two Guvnors",Caucasian,19,,Play,
2011-2012,"One Man, Two Guvnors",Latino,1,,Play,
2011-2012,"One Man, Two Guvnors",Other,0,,Play,
2011-2012,Other Desert Cities,African American,0,,Play,
2011-2012,Other Desert Cities,Asian American,0,,Play,
2011-2012,Other Desert Cities,Caucasian,15,,Play,
2011-2012,Other Desert Cities,Latino,0,,Play,
2011-2012,Other Desert Cities,Other,0,,Play,
2011-2012,Peter and the Starcatcher,African American,1,,Play,
2011-2012,Peter and the Starcatcher,Asian American,1,,Play,
2011-2012,Peter and the Starcatcher,Caucasian,14,,Play,
2011-2012,Peter and the Starcatcher,Latino,1,,Play,
2011-2012,Peter and the Starcatcher,Other,0,,Play,
2011-2012,Priscilla Queen of the Desert,African American,1,,Musical,
2011-2012,Priscilla Queen of the Desert,Asian American,0,,Musical,
2011-2012,Priscilla Queen of the Desert,Caucasian,9,,Musical,
2011-2012,Priscilla Queen of the Desert,Latino,0,,Musical,
2011-2012,Priscilla Queen of the Desert,Other,0,,Musical,
2011-2012,Private Lives,African American,0,,Play,
